database_identifier	chemical_formula	smiles	inchi	metabolite_identification	chemical_shift	multiplicity	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub
CHEBI:1148	C4H8O3	CCC(O)C(O)=O	InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)	2-hydroxybutyric acid	0.88/t		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:1						
CHEBI:20067	C4H8O3	CC(O)CC(O)=O	InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)	3-hydroxybutyric acid	1.20/d, 2.31 & 2.40/m, 4.15/m		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:1						
CHEBI:15366	C2H4O2	CC(O)=O	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	Acetic acid	1.92/s		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:1						
CHEBI:15344	C4H6O3	CC(=O)CC(O)=O	InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)	Acetoacetic acid	2.28/s, 3.45/s		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:1						
CHEBI:15347	C3H6O	CC(C)=O	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	Acetone	2.23/s		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:1						
CHEBI:16977	C3H7NO2	C[C@H](N)C(O)=O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1	L-Alanine	1.48/d, 3.73/q		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:1						
CHEBI:16467	C6H14N4O2	N[C@@H](CCCNC(N)=N)C(O)=O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1	L-Arginine	1.68/m		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:1						
CHEBI:17196	C4H8N2O3	N[C@@H](CC(N)=O)C(O)=O	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1	L-Asparagine	2.84/dd, 2.94/dd, 3.98/dd		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:1						
CHEBI:17053	C4H7NO4	N[C@@H](CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	L-Aspartic acid	3.87/dd		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:1						
CHEBI:15354	C5H14NO+	C[N+](C)(C)CCO	InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1	Choline	3.22/s		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:2						
CHEBI:30769	C6H8O7	OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	Citric acid	2.54/d, 2.66/d		NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	homo sapiens			MSI:1						
